Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
Japan Credit Bureau,JCB,3529045613440370,Keri M Lytle,755,10/2011,10/2021,10,7886,28400
Japan Credit Bureau,JCB,3532206775236924,Kristen Mendoza,828,05/2007,05/2012,3,5825,127000
Discover,Discover,6011913210352892,Lennie T Gatto,901,06/2017,06/2030,25,2241,188400
Diners Club International,Diners Club,30087736462483,Anne Z Cabrera,550,06/2016,06/2034,1,9174,60800
Discover,Discover,6011592229098660,Ha Lindner,315,01/2016,01/2019,18,9208,119300
Visa,Chase,4506223591639959,Marilyn F Warner,224,12/2008,12/2026,13,8484,49700
Diners Club International,Diners Club,30140349980688,Sarita Lilly,277,08/2017,08/2037,10,6891,71400
Diners Club International,Diners Club,30142087348359,Monica F Hill,091,02/2010,02/2018,3,9834,175800
Diners Club International,Diners Club,30579896785430,Rolanda O Mcculley,561,04/2017,04/2023,5,5890,150600
Diners Club International,Diners Club,30513879761142,Amanda E Dixon,910,11/2011,11/2013,25,4945,15600
American Express,USAA,340367939478204,Kathe Sterling,1893,10/2013,10/2017,11,0490,42300
American Express,U.S. Bancorp,346290547211029,Gregory Pearson,7783,11/2015,11/2033,6,2595,134300
Master Card,USAA,5199379737346591,Joe Jepson,687,01/2013,01/2017,8,9437,138000
Visa,Capital One,4776851709291561,Dan M Armstrong,044,03/2013,03/2014,16,1318,131300
Master Card,Chase,5449441026111561,Elsy M Meneses,591,07/2013,07/2027,13,2828,78400
Discover,Discover,6011808713701548,Emily B West,034,03/2012,03/2023,27,3708,64600
Master Card,U.S. Bancorp,5364304387280915,Elke T Lamm,349,04/2013,04/2024,17,4215,89000
Master Card,Chase,5399602361740047,Randall Bullock,985,05/2009,05/2016,28,5131,149500
Diners Club International,Diners Club,30925586407316,Marnie P Lejeune,450,11/2016,11/2030,5,9448,78000
Japan Credit Bureau,JCB,3585753013573507,Benjamin Oneill,806,11/2016,11/2023,2,2171,140600
Japan Credit Bureau,JCB,3574000811098326,Gary G Eberle,450,09/2017,09/2031,21,6357,64200
Discover,Discover,6011414633515751,Loretta Keith,537,04/2007,04/2013,19,8609,42100
Japan Credit Bureau,JCB,3553361733251285,Frankie Z Welton,052,08/2008,08/2009,28,1801,42400
American Express,Bank of America,370544125107846,Sue V Spence,6536,03/2012,03/2032,4,9257,37900
Discover,Discover,6011244349230399,Lizette Carreon,711,07/2008,07/2024,5,5171,98100
Diners Club International,Diners Club,36814590587228,Hector C Foreman,679,12/2010,12/2021,14,4455,50700
Visa,Bank of America,4426081992579001,Pauletta J Newby,645,02/2014,02/2017,14,9901,114000
Visa,U.S. Bancorp,4948038729816170,Michelle Gilmore,304,09/2008,09/2025,7,0544,148900
Discover,Discover,6011836447711764,Tommie G Ware,900,12/2012,12/2022,15,7044,165600
Diners Club International,Diners Club,30267293353438,Philip F Garcia,279,04/2013,04/2024,24,4131,24200
Japan Credit Bureau,JCB,3564091608497955,Jefferson P Sykes,032,11/2009,11/2028,9,7485,92400
Visa,Bank of America,4391190983916881,Leslie Rogers,945,03/2015,03/2026,3,0450,183900
Diners Club International,Diners Club,30021067971119,Lawana Burch,462,08/2015,08/2025,28,1849,197600
Discover,Discover,6011242377506730,Bobby R Pearson,424,07/2016,07/2030,15,8643,135000
American Express,American Express,376460658370525,Doug J Salas,2679,06/2007,06/2019,9,9666,138200
Master Card,Bank of America,5181338852176365,Pamela C Ewing,987,01/2007,01/2017,3,9261,100600
Master Card,Chase,5417673952926384,Mel Hardin,721,11/2013,11/2014,1,1854,142700
Visa,PNC,4422955472432472,Sara L Lopez,374,03/2015,03/2027,13,1815,120900
Discover,Discover,6011701707569858,Milan B Bader,100,02/2013,02/2030,23,3090,193900
Discover,Discover,6011766612888941,Audrey Knox,728,06/2009,06/2020,7,2664,130900
Master Card,Chase,5384507801469718,Elizbeth Fifield,107,04/2017,04/2029,9,3122,77600
Discover,Discover,6011971022598474,Jonathan Daniel,012,12/2017,12/2026,25,6079,96600
Visa,Cabela’s WFB,4696625280210654,Serina H Futch,831,03/2008,03/2013,2,8592,22500
American Express,American Express,372049644681725,Jeff Reese,3622,07/2016,07/2027,8,3777,94600
Discover,Discover,6505556356319382,Willis H Dellinger,805,03/2014,03/2015,27,9425,174200
American Express,American Express,340481386011382,Stacy S Albert,2814,05/2007,05/2024,20,0748,81100
Master Card,USAA,5164268213561529,Issac Q Musselman,684,11/2012,11/2015,9,6354,54000
American Express,American Express,377281622517028,Emma C Mckinney,9144,11/2008,11/2012,13,7681,91900
Diners Club International,Diners Club,30140850471374,Minh Deane,856,08/2009,08/2027,28,8643,144100
Diners Club International,Diners Club,36616816280946,Dawn W George,497,02/2014,02/2028,8,2804,143500
Discover,Discover,6011575784791100,Tamra Solomon,521,03/2012,03/2016,20,3559,188500
Discover,Discover,6549005529475133,Christine B Huffman,145,05/2013,05/2033,1,8452,102000
Master Card,U.S. Bancorp,5488464305787283,Anneliese Plunkett,300,07/2010,07/2029,1,1675,61500
American Express,USAA,343338867133977,Cindy X Myers,4081,02/2007,02/2020,4,0174,25400
Japan Credit Bureau,JCB,3545746013500438,Alonzo Weddle,781,06/2012,06/2031,21,4548,167100
American Express,American Express,375270436903583,Ruby Y Graham,0233,11/2010,11/2029,15,8690,10000
Diners Club International,Diners Club,30945431557131,Jerrold B Scaife,223,04/2013,04/2030,4,3845,93000
Master Card,Citibank,5454426392322530,April P Carey,237,06/2015,06/2020,6,7514,142200
American Express,American Express,379303523332816,Kathey S Pinkston,6909,09/2011,09/2029,19,3478,181400
Master Card,Bank of America,5480183286715901,Henry Y Sawyer,284,10/2007,10/2024,24,1552,61300
American Express,USAA,378015138735339,Roseanne G Borchardt,2342,03/2017,03/2024,7,8806,84300
American Express,American Express,341405658968556,Shane R Alford,2415,01/2011,01/2029,4,4490,160200
Japan Credit Bureau,JCB,3562989832111692,Genie Backman,032,07/2013,07/2022,14,9474,198800
Discover,Discover,6011433714050702,Shannon G Beach,816,06/2017,06/2024,22,5284,32900
Visa,Barclays,4903856442026501,Weston S Rey,633,07/2009,07/2021,11,4946,146000
Discover,Discover,6224586139500800,Alvin Y Roberson,341,10/2015,10/2034,1,6561,92700
American Express,American Express,340095899184559,Richelle U Cookson,3034,04/2012,04/2024,28,4291,96100
Japan Credit Bureau,JCB,3566561955708541,Ryan H Hall,049,08/2011,08/2028,25,0250,163300
Discover,Discover,6011441698421872,Oda H Rasmussen,773,07/2008,07/2019,15,4297,145000
Discover,Discover,6011315172139657,Francisco S Murray,279,10/2016,10/2028,9,8254,112800
Visa,Chase,4177372867050637,Willis O Ballenger,212,01/2008,01/2015,28,2465,31300
Diners Club International,Diners Club,30540931201585,Jennifer R Cruz,945,12/2014,12/2018,12,8466,38300
Visa,Wells Fargo,4344851061471564,Francis Applewhite,969,03/2014,03/2033,16,3941,195200
Discover,Discover,6011937516468912,Norma V Palmer,174,03/2011,03/2023,24,8954,33700
Visa,Chase,4734848349008042,Clemente M Donner,579,05/2014,05/2031,2,3972,101500
Master Card,Citibank,5303450347927634,Florence L Howe,984,08/2016,08/2034,16,5626,186300
Japan Credit Bureau,JCB,3566210472480115,Loren E Overman,598,07/2012,07/2014,8,9913,54100
Master Card,Bank of America,5244274673921603,Vivian V Sears,139,02/2008,02/2009,8,1177,167100
Discover,Discover,6011335736649090,Justin Fleenor,812,02/2017,02/2025,5,9384,49100
Diners Club International,Diners Club,30119295118659,Albert Q Holcomb,688,05/2015,05/2020,3,5641,108700
Japan Credit Bureau,JCB,3569401262475822,Clyde U Neel,012,10/2013,10/2024,3,3610,88200
Diners Club International,Diners Club,30027262794818,Miguel Potts,653,05/2014,05/2019,22,1358,137700
Visa,Bank of America,4076812874762031,Palmer E Croft,990,05/2015,05/2016,28,7526,155700
Discover,Discover,6011302905727479,Marvin K Whitley,506,12/2008,12/2016,28,7665,160600
Master Card,Chase,5485978616021119,Van Q Valladares,209,04/2010,04/2015,18,0697,195100
Master Card,Citibank,5103444451301142,William Maxwell,077,01/2009,01/2026,24,3127,27500
Diners Club International,Diners Club,30472165255923,Arline Monday,327,11/2008,11/2010,1,5628,92900
Discover,Discover,6011315195866666,Betty M Franco,563,02/2014,02/2027,14,5625,56200
Visa,USAA,4923967450943044,Emelina T Vogel,345,03/2017,03/2028,18,2512,103100
Visa,Bank of America,4495689634498533,Kenneth Allison,339,03/2017,03/2028,14,3095,45300
Japan Credit Bureau,JCB,3587655198086619,Jospeh D Lawhorn,835,06/2014,06/2034,7,1989,101200
American Express,American Express,348445246869745,Carl V Gilbert,4567,12/2017,12/2037,12,0258,84200
American Express,American Express,373579435875762,Neida M Millsaps,7355,03/2012,03/2019,7,9974,99200
Master Card,Capital One,5497934279068539,Betty N Sandoval,707,08/2007,08/2024,19,9129,55000
Diners Club International,Diners Club,30508260254251,Alleen S Rusch,884,11/2010,11/2026,28,1124,125500
Discover,Discover,6599936552032012,Megan S Browning,114,05/2012,05/2019,19,3636,88300
Discover,Discover,6011544520032773,Artie Papa,351,01/2007,01/2009,12,9988,93300
Visa,GE Capital,4335315584667729,Cynthia K Osborn,622,12/2007,12/2020,23,1141,101100
Japan Credit Bureau,JCB,3554719735526450,Cody A Newby,119,01/2016,01/2021,27,1428,139500
Visa,U.S. Bancorp,4964791419857537,Don N White,448,07/2009,07/2010,26,6203,17300
Diners Club International,Diners Club,30523940898963,Moshe Tisdale,401,02/2010,02/2021,17,4351,60900
American Express,USAA,372702619640049,Judith Edwards,7927,02/2015,02/2016,23,4364,31500
Japan Credit Bureau,JCB,3561474230150528,Sylvester T Styles,538,10/2011,10/2023,16,5328,136000
Japan Credit Bureau,JCB,3538377964651621,Curtis B Stone,838,05/2013,05/2029,19,6300,141700
Japan Credit Bureau,JCB,3530971714783722,Daniel Rosenfeld,377,07/2011,07/2024,22,1159,152900
Japan Credit Bureau,JCB,3532865247381863,Derrick N Tyson,118,08/2015,08/2021,2,5132,118200
American Express,American Express,374147453339043,Daisy Botello,7440,03/2012,03/2025,15,1942,166400
American Express,U.S. Bancorp,372289339687963,Rodney T Bass,9965,05/2007,05/2024,17,2204,177500
Master Card,GE Capital,5144161572760607,Dane G Cauthen,408,03/2013,03/2018,17,8715,92600
American Express,American Express,374048396614056,Jean R Whitfield,5285,11/2010,11/2029,1,9167,14900
Master Card,Capital One,5475121160759576,Olive Endres,669,08/2015,08/2027,21,2231,45600
Master Card,USAA,5338798541375854,Rose N Conner,954,05/2008,05/2014,28,6651,168400
Discover,Discover,6011420831613827,Therese Clowers,612,05/2015,05/2030,23,1930,141200
Japan Credit Bureau,JCB,3563209357378033,Yvonne T Scott,583,01/2013,01/2025,20,2356,43100
Japan Credit Bureau,JCB,3579527681937774,Floyd M Bannister,590,04/2007,04/2025,6,6661,56900
Japan Credit Bureau,JCB,3542866699512334,Beth Hines,583,12/2016,12/2027,13,3872,84600
